Attendance,Date,Home,Away,Home_Avg_Attendance,Home_Last3_Avg,Matchup_Avg_Attendance,Home_Is_Big3,Away_Is_Big3,Day_Type,Round_Num
9701,2023-01-21,Santa Clara,Benfica,2321,2677,2321,0,1,weekend,17
19653,2023-01-21,Vitoria de Guimaraes,FC Porto,13962,13029,13962,0,1,weekend,17
9212,2023-01-22,Maritimo,Estoril,7021,9340,7021,0,0,weekend,17
772,2023-01-22,Casa Pia AC,Gil Vicente,4905,3667,4905,0,0,weekend,17
3660,2023-01-22,Famalicao,Rio Ave,3796,3217,3796,0,0,weekend,17
4011,2023-01-23,Boavista,Chaves,7751,6981,7751,0,0,weekday,17
8060,2023-01-26,Pacos de Ferreira,Benfica,3960,4517,3960,0,1,rare,20
1003,2023-01-29,Casa Pia AC,Santa Clara,4446,3305,4446,0,0,weekend,18
3519,2023-01-29,Vizela,Rio Ave,2929,3050,2929,0,0,weekend,18
4371,2023-01-29,Boavista,Portimonense,7336,6397,7336,0,0,weekend,18
3407,2023-01-29,Famalicao,Estoril,3779,3644,3779,0,0,weekend,18
9347,2023-01-30,Vitoria de Guimaraes,Chaves,14594,14591,14594,0,0,weekday,18
2901,2023-01-31,Pacos de Ferreira,Gil Vicente,4370,5477,4370,0,0,rare,18
4614,2023-01-31,Arouca,Benfica,1564,938,1564,0,1,rare,18
9624,2023-02-01,Maritimo,FC Porto,7295,9387,7295,0,1,rare,18
26338,2023-02-01,Sporting CP,Braga,28643,27229,28643,1,0,rare,18
1680,2023-02-04,Santa Clara,Boavista,3141,4013,3141,0,0,weekend,19
58763,2023-02-04,Benfica,Casa Pia AC,54989,56707,54989,1,0,weekend,19
1624,2023-02-04,Estoril,Vitoria de Guimaraes,3028,2941,3028,0,0,weekend,19
14331,2023-02-05,Braga,Famalicao,15405,14920,15405,0,0,weekend,19
2129,2023-02-05,Chaves,Maritimo,3555,2099,3555,0,0,weekend,19
41211,2023-02-05,FC Porto,Vizela,44368,40256,44368,1,0,weekend,19
2725,2023-02-05,Gil Vicente,Arouca,4082,2721,4082,0,0,weekend,19
4125,2023-02-06,Rio Ave,Sporting CP,2514,2116,2514,0,1,weekday,19
745,2023-02-06,Portimonense,Pacos de Ferreira,1911,1018,1911,0,0,weekday,19
956,2023-02-09,Estoril,Boavista,2852,2591,2852,0,0,rare,14
2909,2023-02-10,Vizela,Chaves,2994,3316,2994,0,0,weekend,20
857,2023-02-11,Arouca,Santa Clara,1869,2072,1869,0,0,weekend,20
12956,2023-02-11,Vitoria de Guimaraes,Portimonense,14069,12733,14069,0,0,weekend,20
4483,2023-02-12,Famalicao,Gil Vicente,3738,3467,3738,0,0,weekend,20
39528,2023-02-12,Sporting CP,FC Porto,28387,26900,28387,1,1,weekend,20
9937,2023-02-12,Maritimo,Braga,7554,9449,7554,0,0,weekend,20
2654,2023-02-13,Rio Ave,Estoril,2693,2642,2693,0,0,weekday,20
3575,2023-02-13,Boavista,Casa Pia AC,7039,4076,7039,0,0,weekday,20
3212,2023-02-17,Gil Vicente,Vizela,3946,2884,3946,0,0,weekend,21
2052,2023-02-18,Estoril,Pacos de Ferreira,2641,1290,2641,0,0,weekend,21
1572,2023-02-18,Portimonense,Maritimo,1794,836,1794,0,0,weekend,21
40629,2023-02-18,FC Porto,Rio Ave,44017,40083,44017,1,0,weekend,21
1818,2023-02-19,Casa Pia AC,Vitoria de Guimaraes,4102,3294,4102,0,0,weekend,21
13407,2023-02-19,Braga,Arouca,15286,15362,15286,0,0,weekend,21
1618,2023-02-19,Santa Clara,Famalicao,2995,4324,2995,0,0,weekend,21
4981,2023-02-20,Chaves,Sporting CP,3396,2067,3396,0,1,weekday,21
56413,2023-02-20,Benfica,Boavista,55366,57206,55366,1,0,weekday,21
2965,2023-02-24,Famalicao,Portimonense,3812,3850,3812,0,0,weekend,22
1071,2023-02-25,Arouca,Casa Pia AC,1777,2103,1777,0,0,weekend,22
9312,2023-02-25,Maritimo,Santa Clara,7792,9591,7792,0,0,weekend,22
5872,2023-02-25,Vizela,Benfica,2986,3012,2986,0,1,weekend,22
3244,2023-02-26,Rio Ave,Chaves,2689,3030,2689,0,0,weekend,22
5406,2023-02-26,Pacos de Ferreira,Boavista,4236,5622,4236,0,0,weekend,22
35509,2023-02-26,FC Porto,Gil Vicente,43679,38384,43679,1,0,weekend,22
